date, calc, real
25.595, 4.9482, 5.1059
25.599, 5.1889, 5.6054
25.602, 5.4944, 5.4944
25.606, 4.1301, 5.7997
25.609, 5.1444, 6.1882
25.612, 5.987, 5.9939
25.616, 6.6693, 6.2159
25.619, 7.2025, 6.7709
25.623, 7.5978, 7.3537
25.626, 7.8665, 7.8254
25.63, 8.0197, 8.0197
25.633, 7.7518, 7.5757
25.637, 7.8252, 6.7987
25.64, 7.7836, 6.2437
25.644, 7.6438, 5.9939
25.647, 7.4225, 5.9107
25.651, 7.1366, 5.8274
25.654, 6.8028, 6.2159
25.658, 6.4379, 6.4379
25.661, 8.6705, 6.5767
25.665, 7.3267, 6.5212
25.668, 6.2762, 6.4657
25.672, 5.4902, 6.3824
25.675, 4.9397, 6.2159
25.678, 4.5958, 5.6054
25.682, 4.4296, 4.8562
25.685, 4.4122, 4.4122
25.689, 1.7832, 4.6065
25.692, 2.9881, 4.44
25.696, 3.9683, 4.218
25.699, 4.7427, 4.4122
25.703, 5.3303, 4.551
25.706, 5.7499, 5.1059
25.71, 6.0203, 5.6332
25.713, 6.1604, 6.1604
25.717, 7.5506, 6.2714
25.72, 6.9827, 6.1882
25.724, 6.4841, 6.1327
25.727, 6.0497, 6.1049
25.731, 5.6747, 5.7164
25.734, 5.3541, 5.2447
25.737, 5.0829, 4.9672
25.741, 4.8562, 4.8562
25.744, 4.6691, 4.6342
25.748, 4.5166, 4.4122
25.751, 4.3937, 4.4122
25.755, 4.2956, 4.3845
25.758, 4.2173, 4.218
25.762, 4.1538, 3.996
25.765, 4.1001, 4.1625
25.769, 4.0515, 4.0515
